epoch,gps_tow,satellite_count,gt_x,gt_y,gt_z,error_2d_wls,est_x_wls,est_y_wls,est_z_wls,error_2d_ekf,est_x_ekf,est_y_ekf,est_z_ekf,error_2d_pf_10k,est_x_pf_10k,est_y_pf_10k,est_z_pf_10k,error_2d_pf3d_10k,est_x_pf3d_10k,est_y_pf3d_10k,est_z_pf3d_10k,error_2d_pf3d_bvh_10k,est_x_pf3d_bvh_10k,est_y_pf3d_bvh_10k,est_z_pf3d_bvh_10k
80,187486.000000,9,-3961764.993000,3349009.474000,3698311.855000,54.881380,-3961775.643535,3348950.442968,3698312.096804,54.896671,-3961775.355980,3348950.183618,3698311.832506,56.105230,-3961783.574667,3348954.298237,3698314.622712,39.283406,-3961789.057175,3348981.551098,3698328.828212,39.283406,-3961789.057175,3348981.551098,3698328.828212
81,187486.200000,9,-3961764.658000,3349009.554000,3698312.137000,54.584700,-3961775.717254,3348951.228227,3698312.789807,54.601304,-3961775.278063,3348950.854352,3698312.432087,56.346576,-3961783.824795,3348954.448909,3698314.920300,39.716644,-3961788.731779,3348981.036049,3698328.842286,39.716644,-3961788.731779,3348981.036049,3698328.842286
82,187486.399999,9,-3961764.305000,3349009.644000,3698312.427000,53.883395,-3961775.479325,3348951.999083,3698312.372680,53.992328,-3961775.188476,3348951.673564,3698312.264893,56.433940,-3961783.431632,3348954.380385,3698315.092799,39.456540,-3961788.510793,3348981.409508,3698328.838742,39.456540,-3961788.510793,3348981.409508,3698328.838742
83,187486.600000,9,-3961763.941000,3349009.741000,3698312.728000,53.409504,-3961775.364434,3348952.623448,3698312.067290,53.500751,-3961775.116587,3348952.354350,3698312.003929,55.921469,-3961782.370581,3348954.526102,3698314.834729,40.032482,-3961788.298995,3348980.881682,3698329.056906,40.032482,-3961788.298995,3348980.881682,3698329.056906
84,187486.799999,9,-3961763.551000,3349009.842000,3698313.043000,52.660003,-3961775.099770,3348953.548221,3698311.883601,52.792250,-3961774.888533,3348953.247490,3698311.811890,56.030109,-3961781.985933,3348954.340309,3698314.497608,40.012647,-3961788.566676,3348981.196119,3698328.807017,40.012647,-3961788.566676,3348981.196119,3698328.807017
85,187487.000000,9,-3961763.138000,3349009.945000,3698313.393000,52.386579,-3961774.997196,3348954.274509,3698312.652083,52.423583,-3961774.673976,3348953.962238,3698312.366359,56.171899,-3961781.272723,3348954.093456,3698314.869727,39.976884,-3961787.874162,3348981.211299,3698329.244733,39.976884,-3961787.874162,3348981.211299,3698329.244733
86,187487.200000,9,-3961762.701000,3349010.038000,3698313.785000,51.976728,-3961774.300332,3348954.531752,3698312.420631,52.046652,-3961774.269754,3348954.419768,3698312.381734,55.800689,-3961780.504168,3348954.228285,3698314.439532,39.975065,-3961787.487635,3348981.166944,3698329.078011,39.975065,-3961787.487635,3348981.166944,3698329.078011
87,187487.399999,9,-3961762.236000,3349010.137000,3698314.202000,51.634547,-3961772.994788,3348954.324506,3698312.034003,51.728642,-3961773.377630,3348954.482701,3698312.196885,55.798725,-3961780.507179,3348954.589338,3698314.716937,40.176674,-3961787.072969,3348980.995529,3698329.292146,40.176674,-3961787.072969,3348980.995529,3698329.292146
88,187487.600000,9,-3961761.742000,3349010.247000,3698314.643000,51.199977,-3961773.362952,3348955.486782,3698312.550664,51.269561,-3961773.123979,3348955.218788,3698312.391852,55.894632,-3961780.580705,3348955.067393,3698315.707309,40.347759,-3961786.795043,3348980.959905,3698329.504089,40.347759,-3961786.795043,3348980.959905,3698329.504089
89,187487.799999,9,-3961761.219000,3349010.365000,3698315.108000,51.148112,-3961772.185526,3348955.136262,3698312.487632,51.179555,-3961772.406204,3348955.240374,3698312.522800,55.343787,-3961779.210549,3348955.085331,3698315.171073,40.745925,-3961786.997586,3348980.960932,3698329.733636,40.745925,-3961786.997586,3348980.960932,3698329.733636
90,187488.000000,9,-3961760.663000,3349010.481000,3698315.585000,51.218343,-3961771.821058,3348955.394532,3698313.388792,51.200592,-3961771.820255,3348955.369373,3698313.214808,55.519025,-3961778.709922,3348954.932333,3698315.234558,40.867207,-3961787.236205,3348981.267661,3698329.677768,40.867207,-3961787.236205,3348981.267661,3698329.677768
91,187488.200000,8,-3961760.084000,3349010.625000,3698316.083000,45.939556,-3961798.201851,3348983.010427,3698318.379437,46.265403,-3961781.897148,3348968.724230,3698313.697646,55.588323,-3961778.450422,3348955.109492,3698315.329880,41.088910,-3961787.551277,3348981.546834,3698329.546173,41.088910,-3961787.551277,3348981.546834,3698329.546173
92,187488.399999,8,-3961759.492000,3349010.773000,3698316.593000,46.076623,-3961797.486634,3348982.871240,3698318.712654,45.631643,-3961788.852592,3348975.846672,3698315.754734,55.455481,-3961778.130199,3348955.500560,3698315.390791,40.940839,-3961787.749120,3348982.185971,3698329.151204,40.940839,-3961787.749120,3348982.185971,3698329.151204
93,187488.600000,8,-3961758.898000,3349010.920000,3698317.107000,46.199492,-3961796.006346,3348982.094393,3698318.432920,45.912461,-3961792.357607,3348979.211161,3698317.105514,54.967241,-3961777.758031,3348956.251132,3698315.221365,41.114700,-3961787.739483,3348982.372710,3698328.946749,41.114700,-3961787.739483,3348982.372710,3698328.946749
94,187488.799999,8,-3961758.303000,3349011.056000,3698317.618000,46.171552,-3961793.990537,3348981.086485,3698317.446785,46.120840,-3961793.423596,3348980.635853,3698317.284534,54.925670,-3961777.738981,3348956.682029,3698314.947115,41.332650,-3961788.167264,3348982.824384,3698328.737637,41.332650,-3961788.167264,3348982.824384,3698328.737637
95,187489.000000,8,-3961757.710000,3349011.192000,3698318.123000,46.163615,-3961793.091402,3348980.954170,3698317.844170,46.183997,-3961793.503958,3348981.319128,3698317.848860,55.090169,-3961777.966880,3348956.994950,3698314.281824,41.973785,-3961788.759673,3348982.952262,3698328.830579,41.973785,-3961788.759673,3348982.952262,3698328.830579
96,187489.200000,8,-3961757.119000,3349011.329000,3698318.634000,46.012836,-3961792.514418,3348981.350805,3698318.038896,46.098283,-3961793.236131,3348981.908821,3698318.188926,54.753630,-3961778.335657,3348958.126177,3698314.002106,42.132757,-3961788.828951,3348983.262818,3698328.392946,42.132757,-3961788.828951,3348983.262818,3698328.392946
97,187489.399999,9,-3961756.527000,3349011.466000,3698319.139000,52.335784,-3961764.689683,3348952.557186,3698314.289700,52.068717,-3961775.781236,3348960.831547,3698318.540902,55.138795,-3961777.689798,3348957.738669,3698314.452719,42.739351,-3961788.860036,3348983.035033,3698328.139614,42.739351,-3961788.860036,3348983.035033,3698328.139614
98,187489.600000,9,-3961755.934000,3349011.610000,3698319.645000,52.401466,-3961764.270641,3348952.663769,3698314.563271,52.740110,-3961769.137413,3348955.782277,3698316.790379,55.356267,-3961777.737312,3348958.035162,3698314.591777,43.120374,-3961788.640325,3348982.961692,3698328.373983,43.120374,-3961788.640325,3348982.961692,3698328.373983
99,187489.799999,9,-3961755.332000,3349011.758000,3698320.147000,52.782290,-3961764.033585,3348952.650694,3698315.352110,52.948780,-3961766.003172,3348953.863373,3698316.229952,56.043889,-3961777.947524,3348957.934748,3698315.183642,43.447710,-3961788.012091,3348982.676500,3698328.886605,43.447710,-3961788.012091,3348982.676500,3698328.886605
